Location,Latitude,Longitude,EventName,Year,InstitutionOrCompany,City,Country,Coordinates,Subtitle,Wiki_URL,Photo_URL
"University of Manchester, Oxford Rd, Manchester, UK",53.4656853,-2.232706,"Turing Test Proposed ('Computing Machinery and Intelligence')",1950,University of Manchester,Manchester,UK,"53.4656853,-2.232706","A test for a machine's ability to exhibit intelligent behavior","https://en.wikipedia.org/wiki/Turing_test","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Turing_Test_diagram.png/1024px-Turing_Test_diagram.png"
"Carnegie Institute of Technology, 5000 Forbes Ave, Pittsburgh, USA",40.4420694,-79.9469647,Logic Theorist: First AI Program,1955,Carnegie Mellon University,"Pittsburgh, Pennsylvania",USA,"40.4420694,-79.9469647","The first program designed to mimic human problem-solving","https://en.wikipedia.org/wiki/Logic_Theorist","https://upload.wikimedia.org/wikipedia/commons/4/44/Allen_Newell%2C_J._C._Shaw%2C_and_Herbert_A._Simon_with_a_printout_from_Logic_Theorist.jpg"
"Dartmouth College, Hanover, New Hampshire, USA",43.7044406,-72.2886934,Birth of AI field,1956,Dartmouth College,"Hanover, New Hampshire",USA,"43.7044406,-72.2886934","The workshop that coined the term 'Artificial Intelligence'","https://en.wikipedia.org/wiki/Dartmouth_workshop","https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Dartmouth_AI_conference_1956_participants.jpg/1280px-Dartmouth_AI_conference_1956_participants.jpg"
"Cornell Aeronautical Laboratory, 4455 Genesee Street, Buffalo, USA",42.9327737,-78.7220237,Invention of the Perceptron,1958,Cornell Aeronautical Laboratory,"Buffalo, New York",USA,"42.9327737,-78.7220237","An early single-layer neural network; a form of artificial neuron","https://en.wikipedia.org/wiki/Perceptron","https://www.computerhistory.org/collections/catalog/102646334"
"MIT Stata Center, 32 Vassar Street, Cambridge, USA",42.3617437,-71.0907261,Symbolic AI (LISP language),1959,Massachusetts Institute of Technology (MIT),Cambridge,USA,"42.3617437,-71.0907261","The foundational programming language for early AI research","https://en.wikipedia.org/wiki/Lisp_(programming_language)","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/John_McCarthy_in_1966.jpg/800px-John_McCarthy_in_1966.jpg"
"Gates Computer Science Building, 353 Jane Stanford Way, Stanford, USA",37.4299866,-122.1733303,Early Robotics & Vision,1963,Stanford University,Stanford,USA,"37.4299866,-122.1733303","Pioneering work in making machines see and physically interact","https://en.wikipedia.org/wiki/History_of_computer_vision","https://www.computerhistory.org/collections/catalog/102622257"
"SRI International, 333 Ravenswood Avenue, Menlo Park, USA",37.4545561,-122.1720309,Shakey the Robot,1966,Stanford Research Institute (SRI),"Menlo Park, California",USA,"37.4545561,-122.1720309","The first mobile robot to reason about its own actions","https://en.wikipedia.org/wiki/Shakey_the_robot","https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Shakey.jpg/800px-Shakey.jpg"
"Stanford University Medical Center, Stanford, USA",37.4330425,-122.1750579,MYCIN Expert System,1972,Stanford University,Stanford,USA,"37.4330425,-122.1750579","An early expert system designed to diagnose infectious diseases","https://en.wikipedia.org/wiki/Mycin","https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Mycin-diagram.png/1280px-Mycin-diagram.png"
"Informatics Forum, 10 Crichton Street, Edinburgh, UK",55.9447872,-3.1872827,The Lighthill Report & AI Winter,1973,University of Edinburgh,Edinburgh,UK,"55.9447872,-3.1872827","A critical report that led to major funding cuts in AI research","https://en.wikipedia.org/wiki/Lighthill_report","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Sir_James_Lighthill_FRS_%28cropped%29.jpg/800px-Sir_James_Lighthill_FRS_%28cropped%29.jpg"
"Bahen Centre for Information Technology, Toronto, Canada",43.6598045,-79.397298,Deep Learning Revival,1980,University of Toronto,Toronto,Canada,"43.6598045,-79.397298","Geoffrey Hinton's work renewed interest in neural networks","https://en.wikipedia.org/wiki/Deep_learning","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Geoffrey_Hinton_at_the_Royal_Society.jpg/800px-Geoffrey_Hinton_at_the_Royal_Society.jpg"
